rodent_uid,PCR_id
6_SEI_015,489
6_SEI_016,320
6_SEI_017,321
6_SEI_018,322
6_SEI_019,323
6_SEI_020,324
6_SEI_021,325
7_LAL_001,490
7_LAL_002,491
7_LAL_003,492
7_LAL_004,493
7_LAL_005,494
7_LAL_006,495
7_LAL_007,496
7_LAL_008,497
7_LAL_009,498
7_LAL_010,499
7_LAL_011,500
7_LAL_012,501
7_LAL_018,502
7_BAI_001,503
7_BAI_002,504
7_BAI_003,505
7_BAI_004,506
7_BAI_005,507
7_BAI_006,508
7_BAI_007,509
7_BAI_008,510
7_BAI_009,511
7_BAI_010,512
7_BAI_011,513
7_BAI_012,514
7_BAI_013,515
7_BAI_014,516
7_BAI_015,517
7_BAI_016,518
7_BAI_017,519
7_BAI_018,520
7_BAI_019,521
7_BAI_020,522
7_BAI_021,523
7_BAI_022,524
7_LAM_001,525
7_LAM_002,526
7_LAM_003,527
7_LAM_004,528
7_LAM_005,529
7_LAM_006,530
7_LAM_007,531
7_LAM_008,532
7_LAM_009,533
7_LAM_010,534
7_LAM_011,535
7_LAM_012,536
7_LAM_013,537
7_LAM_014,538
7_SEI_001,539
7_SEI_002,540
7_SEI_003,541
7_SEI_004,542
7_SEI_005,543
7_SEI_006,544
7_SEI_007,545
8_SEI_001,546
8_SEI_002,547
8_SEI_003,548
8_SEI_004,549
8_SEI_005,550
8_SEI_006,551
8_SEI_007,552
8_SEI_008,553
8_SEI_009,554
8_SEI_010,555
8_LAL_001,556
8_LAL_002,557
8_LAL_003,558
8_LAL_004,559
8_LAL_005,560
8_LAL_006,561
8_LAL_007,562
8_LAL_008,563
8_LAL_009,564
8_LAL_010,565
8_LAL_011,566
8_LAM_001,567
8_LAM_002,568
8_LAM_003,569
8_LAM_004,570
8_BAI_001,571
8_BAI_002,572
8_BAI_003,573
8_BAI_004,574
8_BAI_005,575
8_BAI_006,576
8_BAI_007,577
8_BAI_008,578
8_BAI_009,579
8_BAI_010,580
8_BAI_011,581
8_BAI_012,582
8_BAI_013,583
8_BAI_014,584
